==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    458.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    459.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    460.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    461.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    462.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    463.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    464.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    465.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    466.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    467.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    468.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    469.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    470.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    471.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    472.00          8.5276          9.4000          6.6000          0.0000          5.4000          5.4000
    473.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    474.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    475.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    476.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    477.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    478.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    479.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    480.00          8.7864          9.4000          5.8000          0.0000          6.6000          6.6000
    481.00          8.8408          9.4000          5.4000          0.0000          7.0000          7.0000
    482.00          8.9308          9.4000          5.0000          0.0000          7.4000          7.4000
    483.00          9.2650          9.4000          5.0000          0.0000          7.8000          7.8000
    484.00          9.2650          9.4000          7.8000          0.0000          5.0000          5.0000
    485.00          9.2650          9.4000          7.8000          0.0000          5.0000          5.0000
    486.00          9.2650          9.4000          7.8000          0.0000          5.0000          5.0000
    487.00          9.2650          9.8000          7.8000          0.0000          5.0000          5.0000
    488.00          9.6208         10.6018          6.6000          0.0000          7.0000          7.0000
    489.00          9.9318         10.2000          9.0000          0.0000          4.2000          4.2000
    490.00          9.4868          9.8000          7.8000          0.0000          5.4000          5.4000
    491.00          9.0907          9.4000          7.0000          0.0000          5.8000          5.8000
    492.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    493.00          8.7681          9.0000          6.2000          0.0000          6.2000          6.2000
    494.00          8.6023          9.0000          7.0000          0.0000          5.0000          5.0000
    495.00          8.6023          9.0000          7.0000          0.0000          5.0000          5.0000
    496.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    497.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    498.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    499.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    500.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    501.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    502.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    503.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
    504.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    505.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    506.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    507.00          8.7864          9.0000          6.6000          0.0000          5.8000          5.8000
    508.00          8.7681          9.0000          6.2000          0.0000          6.2000          6.2000
    509.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    510.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    511.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    512.00          8.6023          9.0000          7.0000          0.0000          5.0000          5.0000
    513.00          8.5276          9.0000          6.6000          0.0000          5.4000          5.4000
    514.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    515.00          8.7132          9.4000          7.4000          0.0000          4.6000          4.6000
    516.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    517.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    518.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    519.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    520.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    521.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    522.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    523.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    524.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    525.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    526.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    527.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    528.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    529.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    530.00          8.6023          9.0000          7.0000          0.0000          5.0000          5.0000
    531.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    532.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    533.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    534.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    535.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    536.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    537.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    538.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    539.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    540.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    541.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    542.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    543.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    544.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    545.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    546.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    547.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    548.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    549.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    550.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    551.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    552.00          8.9308          9.8000          7.4000          0.0000          5.0000          5.0000
    553.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    554.00          9.3509          9.8000          7.0000          0.0000          6.2000          6.2000
    555.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    556.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
    557.00          9.0554          9.4000          6.6000          0.0000          6.2000          6.2000
    558.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    559.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    560.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    561.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    562.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    563.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    564.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    565.00          8.7132          9.0000          7.4000          0.0000          4.6000          4.6000
    566.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    567.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    568.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    569.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    570.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    571.00          8.9308          9.8000          7.4000          0.0000          5.0000          5.0000
    572.00          9.0554          9.8000          7.8000          0.0000          4.6000          4.6000
    573.00          9.0554          9.8000          7.8000          0.0000          4.6000          4.6000
    574.00          9.0554          9.8000          7.8000          0.0000          4.6000          4.6000
    575.00          9.0554          9.8000          7.8000          0.0000          4.6000          4.6000
    576.00          9.0907          9.8000          7.0000          0.0000          5.8000          5.8000
    577.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    578.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    579.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    580.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    581.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    582.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    583.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    584.00          9.0554          9.4000          7.8000          0.0000          4.6000          4.6000
    585.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    586.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    587.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    588.00          9.1608          9.8000          7.4000          0.0000          5.4000          5.4000
    589.00          9.2650          9.8000          7.8000          0.0000          5.0000          5.0000
    590.00          9.2650          9.8000          7.8000          0.0000          5.0000          5.0000
    591.00          9.4021          9.8000          8.2000          0.0000          4.6000          4.6000
    592.00          9.4021          9.8000          8.2000          0.0000          4.6000          4.6000
    593.00          9.4021          9.8000          8.2000          0.0000          4.6000          4.6000
    594.00          9.4868          9.8000          7.8000          0.0000          5.4000          5.4000
    595.00          9.4868         10.2000          7.8000          0.0000          5.4000          5.4000
    596.00          9.4868         10.2000          7.8000          0.0000          5.4000          5.4000
    597.00          9.4868         10.2000          7.8000          0.0000          5.4000          5.4000
    598.00          9.4868         10.2000          7.8000          0.0000          5.4000          5.4000
    599.00          9.4868         10.2000          7.8000          0.0000          5.4000          5.4000
    600.00          9.6042          9.8000          8.2000          0.0000          5.0000          5.0000
    601.00          9.6042          9.8000          8.2000          0.0000          5.0000          5.0000
    602.00          9.6042          9.8000          8.2000          0.0000          5.0000          5.0000
    603.00          9.6042         10.2000          8.2000          0.0000          5.0000          5.0000
    604.00          9.6042         10.2000          8.2000          0.0000          5.0000          5.0000
    605.00          9.6042         10.2000          8.2000          0.0000          5.0000          5.0000
    606.00          9.7201         10.2000          7.8000          0.0000          5.8000          5.8000
    607.00          9.7201         10.2000          7.8000          0.0000          5.8000          5.8000
    608.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    609.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    610.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    611.00          9.7201         10.2000          7.8000          0.0000          5.8000          5.8000
    612.00          9.7201         10.2000          7.8000          0.0000          5.8000          5.8000
    613.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    614.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    615.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    616.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    617.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    618.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    619.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    620.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    621.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    622.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    623.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    624.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    625.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    626.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    627.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    628.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    629.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    630.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    631.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    632.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    633.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    634.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    635.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    636.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    637.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    638.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    639.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    640.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    641.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    642.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    643.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    644.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    645.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    646.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    647.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    648.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    649.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    650.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    651.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    652.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    653.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    654.00          9.9318         10.2000          9.0000          0.0000          4.2000          4.2000
    655.00          9.8020          9.8000          9.8000         -0.2000          0.0000          0.2000
    656.00         10.2956         10.6018         10.2000         -1.4000          0.0000          1.4000
    657.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    658.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    659.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    660.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    661.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    662.00         10.1548         10.6018          8.6000          0.0000          5.4000          5.4000
    663.00         10.1074         10.2000          9.0000          0.0000          4.6000          4.6000
    664.00          9.9479         10.2000          8.6000          0.0000          5.0000          5.0000
    665.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    666.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    667.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    668.00         10.1548         10.6018          8.6000          0.0000          5.4000          5.4000
    669.00         10.2956         11.0072          9.0000          0.0000          5.0000          5.0000
    670.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    671.00         10.6188         11.0072         10.6018         -0.6000          0.0000          0.6000
    672.00         10.6320         11.0072         10.2000         -3.0000          0.0000          3.0000
    673.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    674.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    675.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    676.00         10.3576         10.6018         10.2000         -1.8000          0.0000          1.8000
    677.00         10.3576         10.6018         10.2000         -1.8000          0.0000          1.8000
    678.00          9.9639         10.6018          9.8000         -1.8000          0.0000          1.8000
    679.00         10.4957         11.0072          9.0000          0.0000          5.4000          5.4000
    680.00         10.6188         11.0072         10.6018         -0.6000          0.0000          0.6000
    681.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    682.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    683.00          9.9479         10.6018          8.6000          0.0000          5.0000          5.0000
    684.00          9.9479         10.2000          8.6000          0.0000          5.0000          5.0000
    685.00          9.9318         10.2000          9.0000          0.0000          4.2000          4.2000
    686.00          9.8184         10.2000          8.2000          0.0000          5.4000          5.4000
    687.00          9.9318         10.2000          9.0000          0.0000          4.2000          4.2000
    688.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    689.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    690.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    691.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    692.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    693.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    694.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    695.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    696.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    697.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    698.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    699.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    700.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    701.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    702.00          9.9479         10.2000          8.6000          0.0000          5.0000          5.0000
    703.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    704.00         10.0439         10.6018          8.2000         -5.8000          0.0000          5.8000
    705.00         10.2956         11.0072          9.0000          0.0000          5.0000          5.0000
    706.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    707.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    708.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    709.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    710.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    711.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    712.00         10.3730         10.6018          8.6000         -5.8000          0.0000          5.8000
    713.00         10.2020         10.2000         10.2000          0.0000         -0.2000          0.2000
    714.00         10.4346         11.0072         10.2000          0.0000         -2.2000          2.2000
    715.00         10.4346         11.0072         10.2000          0.0000         -2.2000          2.2000
    716.00         10.4346         11.0072         10.2000          0.0000         -2.2000          2.2000
    717.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    718.00         10.4346         11.0072         10.2000          0.0000         -2.2000          2.2000
    719.00         10.4957         11.0072          9.0000          0.0000          5.4000          5.4000
    720.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    721.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    722.00         10.2020         10.2000         10.2000          0.0000         -0.2000          0.2000
    723.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    724.00         10.2020         10.2000         10.2000          0.0000         -0.2000          0.2000
    725.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    726.00         10.4957         10.6018          9.0000          0.0000          5.4000          5.4000
    727.00         10.3576         11.0072         10.2000          0.0000         -1.8000          1.8000
    728.00         10.6188         11.0072         10.6018         -0.6000          0.0000          0.6000
    729.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    730.00         10.6037         10.6018         10.6018          0.0000         -0.2000          0.2000
    731.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    732.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    733.00         10.1074         10.2000          9.0000          0.0000          4.6000          4.6000
    734.00          9.8020          9.8000          9.8000          0.0000         -0.2000          0.2000
    735.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    736.00          9.7529         10.2000          8.6000          0.0000          4.6000          4.6000
    737.00          9.9318         10.6018          9.0000          0.0000          4.2000          4.2000
    738.00         10.1074         11.0072          9.0000          0.0000          4.6000          4.6000
    739.00         10.4652         11.4162          9.4000          0.0000          4.6000          4.6000
    740.00         10.6320         11.4162         10.2000         -3.0000          0.0000          3.0000
    741.00         10.7517         11.4162         10.2000         -3.4000          0.0000          3.4000
    742.00         11.0018         11.4162          9.8000          0.0000          5.0000          5.0000
    743.00         10.8259         11.4162          9.8000          0.0000          4.6000          4.6000
    744.00         10.8259         11.4162          9.8000          0.0000          4.6000          4.6000
    745.00         11.0018         11.4162          9.8000          0.0000          5.0000          5.0000
    746.00         11.0018         11.4162          9.8000          0.0000          5.0000          5.0000
    747.00         11.0018         11.4162          9.8000          0.0000          5.0000          5.0000
    748.00         11.0018         11.4162          9.8000          0.0000          5.0000          5.0000
    749.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    750.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    751.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    752.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    753.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    754.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    755.00         10.4652         10.6018          9.4000          0.0000          4.6000          4.6000
    756.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    757.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    758.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    759.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    760.00         10.1074         10.6018          9.0000          0.0000          4.6000          4.6000
    761.00         10.2489         10.6018          9.8000         -3.0000          0.0000          3.0000
    762.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    763.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    764.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    765.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    766.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    767.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    768.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    769.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    770.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    771.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    772.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    773.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    774.00         10.8259         11.0072          9.8000          0.0000          4.6000          4.6000
    775.00         10.7517         11.0072         10.2000          0.0000          3.4000          3.4000
    776.00         10.7517         11.0072         10.2000          0.0000          3.4000          3.4000
    777.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    778.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    779.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    780.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    781.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    782.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    783.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    784.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    785.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    786.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    787.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    788.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    789.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    790.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    791.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    792.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    793.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    794.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    795.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    796.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    797.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    798.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    799.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    800.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    801.00         10.6621         11.0072          9.8000          0.0000          4.2000          4.2000
    802.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    803.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    804.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    805.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    806.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    807.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    808.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    809.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    810.00         10.2956         10.6018          9.4000          0.0000          4.2000          4.2000
    811.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    812.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    813.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    814.00         10.2020         10.2000         10.2000          0.0000         -0.2000          0.2000
    815.00         10.2020         10.2000         10.2000          0.0000         -0.2000          0.2000
    816.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    817.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    818.00         10.2956         10.6018          9.0000          0.0000          5.0000          5.0000
    819.00         10.0439         11.0072          9.8000          0.0000         -2.2000          2.2000
    820.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    821.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    822.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    823.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    824.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    825.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    826.00         10.6037         10.6018         10.6018          0.0000         -0.2000          0.2000
    827.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    828.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    829.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    830.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    831.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    832.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    833.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    834.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    835.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    836.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    837.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    838.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    839.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    840.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    841.00         10.6019         11.0072          8.6000          0.0000          6.2000          6.2000
    842.00         10.6019         11.0072          8.6000          0.0000          6.2000          6.2000
    843.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    844.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    845.00         10.5109         11.0072          9.8000          0.0000          3.8000          3.8000
    846.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    847.00         10.6471         11.4162          9.4000          0.0000          5.0000          5.0000
    848.00         10.6621         11.4162          9.8000          0.0000          4.2000          4.2000
    849.00         10.6471         11.0072          9.4000          0.0000          5.0000          5.0000
    850.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    851.00         10.4652         11.0072          9.4000          0.0000          4.6000          4.6000
    852.00         10.2956         11.0072          9.0000          0.0000          5.0000          5.0000
