==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
     87.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     88.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     89.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     90.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     91.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     92.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     93.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     94.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     95.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     96.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     97.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     98.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
     99.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    100.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    101.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    102.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    103.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    104.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    105.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    106.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    107.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    108.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    109.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    110.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    111.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    112.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    113.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    114.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    115.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    116.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    117.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    118.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    119.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    120.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    121.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    122.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    123.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    124.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    125.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    126.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    127.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    128.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    129.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    130.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    131.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    132.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    133.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    134.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    135.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    136.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    137.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    138.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    139.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    140.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    141.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    142.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    143.00          8.8408          9.4000          7.0000          0.0000          5.4000          5.4000
    144.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    145.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    146.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    147.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    148.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    149.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    150.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    151.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    152.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    153.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    154.00          8.8589          9.4000          7.8000          0.0000          4.2000          4.2000
    155.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    156.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    157.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    158.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    159.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    160.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    161.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    162.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    163.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    164.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    165.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    166.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    167.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    168.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    169.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    170.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    171.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    172.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
    173.00          8.9308          9.4000          7.4000          0.0000          5.0000          5.0000
